Distance[um],dz[um],Mag_Ey
1.19192,1.5,156015
1.21212,1.5,148331
1.23232,1.5,170209
1.25253,1.5,232712
1.27273,1.5,277182
1.29293,1.5,326204
1.31313,1.5,385843
1.33333,1.5,453921
1.35354,1.5,528497
1.37374,1.5,607874
1.39394,1.5,690594
1.41414,1.5,775439
1.43434,1.5,861433
1.45455,1.5,947841
1.47475,1.5,1.03417e+06
1.49495,1.5,1.12015e+06
1.51515,1.5,1.20579e+06
1.53535,1.5,1.2913e+06
1.55556,1.5,1.37716e+06
1.57576,1.5,1.34151e+06
1.59596,1.5,1.32375e+06
1.61616,1.5,1.34588e+06
1.63636,1.5,1.36356e+06
1.65657,1.5,1.37465e+06
1.67677,1.5,1.37746e+06
1.69697,1.5,1.37075e+06
1.71717,1.5,1.35372e+06
1.73737,1.5,1.32602e+06
1.75758,1.5,1.28775e+06
1.77778,1.5,1.23947e+06
1.79798,1.5,1.18216e+06
1.81818,1.5,1.11728e+06
1.83838,1.5,1.04672e+06
1.85859,1.5,972819
1.87879,1.5,898367
1.89899,1.5,826603
1.91919,1.5,761214
1.93939,1.5,706333
1.9596,1.5,666543
1.9798,1.5,646876
2,1.5,652811
0,1.52,0
0.020202,1.52,619003
0.040404,1.52,607741
0.0606061,1.52,612199
0.0808081,1.52,628972
0.10101,1.52,654961
0.121212,1.52,687377
0.141414,1.52,723741
0.161616,1.52,761880
0.181818,1.52,799930
0.20202,1.52,836338
0.222222,1.52,869855
0.242424,1.52,899545
0.262626,1.52,924778
0.282828,1.52,945231
0.30303,1.52,960894
0.323232,1.52,972062
0.343434,1.52,979338
0.363636,1.52,983637
0.383838,1.52,1.15297e+06
0.40404,1.52,1.09866e+06
0.424242,1.52,1.50131e+06
0.444444,1.52,1.35372e+06
0.464646,1.52,1.22354e+06
0.484848,1.52,1.11097e+06
0.505051,1.52,1.01602e+06
0.525253,1.52,938546
0.545455,1.52,908720
0.565657,1.52,872383
0.585859,1.52,833037
0.606061,1.52,790415
0.626263,1.52,744344
0.646465,1.52,694745
0.666667,1.52,641634
0.686869,1.52,585123
0.707071,1.52,511062
0.727273,1.52,469963
0.747475,1.52,435064
0.767677,1.52,404094
0.787879,1.52,375553
0.808081,1.52,348718
0.828283,1.52,323643
0.848485,1.52,301153
0.868687,1.52,282852
0.888889,1.52,271116
0.909091,1.52,412712
0.929293,1.52,321835
0.949495,1.52,247528
0.969697,1.52,192618
0.989899,1.52,453649
1.0101,1.52,401781
1.0303,1.52,331583
1.05051,1.52,255504
1.07071,1.52,184072
1.09091,1.52,125891
1.11111,1.52,139763
1.13131,1.52,140712
1.15152,1.52,155668
1.17172,1.52,182355
1.19192,1.52,217632
1.21212,1.52,209783
1.23232,1.52,197621
1.25253,1.52,214700
1.27273,1.52,264084
1.29293,1.52,289647
1.31313,1.52,329090
1.33333,1.52,379954
1.35354,1.52,440020
1.37374,1.52,507310
1.39394,1.52,580087
1.41414,1.52,656853
1.43434,1.52,736353
1.45455,1.52,817570
1.47475,1.52,899731
1.49495,1.52,982299
1.51515,1.52,1.06498e+06
1.53535,1.52,1.04516e+06
1.55556,1.52,1.17911e+06
1.57576,1.52,1.29584e+06
1.59596,1.52,1.35612e+06
1.61616,1.52,1.28313e+06
1.63636,1.52,1.30057e+06
1.65657,1.52,1.31278e+06
1.67677,1.52,1.31785e+06
1.69697,1.52,1.31427e+06
1.71717,1.52,1.30101e+06
1.73737,1.52,1.27748e+06
1.75758,1.52,1.24354e+06
1.77778,1.52,1.19949e+06
1.79798,1.52,1.14608e+06
1.81818,1.52,1.08452e+06
1.83838,1.52,1.01646e+06
1.85859,1.52,943998
1.87879,1.52,869676
1.89899,1.52,796491
1.91919,1.52,727887
1.93939,1.52,667754
1.9596,1.52,620432
1.9798,1.52,590708
2,1.52,0
0,1.54,0
0.020202,1.54,110860
0.040404,1.54,565331
0.0606061,1.54,578261
0.0808081,1.54,601570
0.10101,1.54,632346
0.121212,1.54,667987
0.141414,1.54,706196
0.161616,1.54,744989
0.181818,1.54,782687
0.20202,1.54,817920
0.222222,1.54,849629
0.242424,1.54,877060
0.262626,1.54,899769
0.282828,1.54,917622
0.30303,1.54,930791
0.323232,1.54,939758
0.343434,1.54,945312
0.363636,1.54,1.12769e+06
0.383838,1.54,1.06856e+06
0.40404,1.54,1.01929e+06
0.424242,1.54,978665
0.444444,1.54,1.20503e+06
0.464646,1.54,1.08238e+06
0.484848,1.54,978486
0.505051,1.54,893211
0.525253,1.54,826244
0.545455,1.54,777091
0.565657,1.54,745075
0.585859,1.54,729335
0.606061,1.54,780694
0.626263,1.54,736930
0.646465,1.54,689291
0.666667,1.54,637852
0.686869,1.54,582784
0.707071,1.54,528685
0.727273,1.54,492334
0.747475,1.54,460134
0.767677,1.54,430058
0.787879,1.54,400852
0.808081,1.54,372042
0.828283,1.54,343923
0.848485,1.54,317569
0.868687,1.54,294829
0.888889,1.54,278327
0.909091,1.54,271459
0.929293,1.54,336922
0.949495,1.54,250628
0.969697,1.54,185699
0.989899,1.54,463910
1.0101,1.54,399433
1.0303,1.54,321569
1.05051,1.54,242330
1.07071,1.54,224041
1.09091,1.54,209134
1.11111,1.54,208949
1.13131,1.54,222113
1.15152,1.54,246390
1.17172,1.54,278676
1.19192,1.54,329583
1.21212,1.54,281477
1.23232,1.54,249117
1.25253,1.54,236349
1.27273,1.54,280216
1.29293,1.54,279925
1.31313,1.54,296568
1.33333,1.54,327408
1.35354,1.54,369944
1.37374,1.54,421920
1.39394,1.54,481319
1.41414,1.54,546364
1.43434,1.54,615518
1.45455,1.54,687488
1.47475,1.54,761218
1.49495,1.54,835894
1.51515,1.54,844426
1.53535,1.54,990578
1.55556,1.54,1.1158e+06
1.57576,1.54,1.22219e+06
1.59596,1.54,1.28208e+06
1.61616,1.54,1.22452e+06
1.63636,1.54,1.24067e+06
1.65657,1.54,1.25309e+06
1.67677,1.54,1.2596e+06
1.69697,1.54,1.25848e+06
1.71717,1.54,1.24843e+06
1.73737,1.54,1.22862e+06
1.75758,1.54,1.19868e+06
1.77778,1.54,1.15866e+06
1.79798,1.54,1.10906e+06
1.81818,1.54,1.05086e+06
1.83838,1.54,985454
1.85859,1.54,914699
1.87879,1.54,840899
1.89899,1.54,766805
1.91919,1.54,695616
1.93939,1.54,630980
1.9596,1.54,576994
1.9798,1.54,101188
2,1.54,0
0,1.56,0
0.020202,1.56,107327
0.040404,1.56,210864
0.0606061,1.56,547625
0.0808081,1.56,576677
0.10101,1.56,611551
0.121212,1.56,649827
0.141414,1.56,689398
0.161616,1.56,728462
0.181818,1.56,765528
0.20202,1.56,799412
0.222222,1.56,829238
0.242424,1.56,854439
0.262626,1.56,874758
0.282828,1.56,890245
0.30303,1.56,901259
0.323232,1.56,908465
0.343434,1.56,912841
0.363636,1.56,1.04179e+06
0.383838,1.56,987732
0.40404,1.56,940989
0.424242,1.56,900548
0.444444,1.56,864761
0.464646,1.56,931709
0.484848,1.56,839212
0.505051,1.56,766234
0.525253,1.56,712315
0.545455,1.56,676810
0.565657,1.56,658893
0.585859,1.56,657556
0.606061,1.56,671608
0.626263,1.56,699678
0.646465,1.56,740211
0.666667,1.56,643497
0.686869,1.56,589455
0.707071,1.56,556990
0.727273,1.56,523121
0.747475,1.56,491625
0.767677,1.56,460720
0.787879,1.56,429400
0.808081,1.56,397435
0.828283,1.56,365367
0.848485,1.56,334516
0.868687,1.56,306977
0.888889,1.56,285618
0.909091,1.56,274084
0.929293,1.56,353571
0.949495,1.56,254321
0.969697,1.56,178692
0.989899,1.56,470388
1.0101,1.56,395083
1.0303,1.56,311568
1.05051,1.56,301715
1.07071,1.56,287414
1.09091,1.56,287676
1.11111,1.56,301169
1.13131,1.56,325694
1.15152,1.56,358189
1.17172,1.56,394728
1.19192,1.56,411078
1.21212,1.56,360960
1.23232,1.56,319384
1.25253,1.56,289481
1.27273,1.56,324787
1.29293,1.56,298300
1.31313,1.56,291594
1.33333,1.56,301651
1.35354,1.56,325693
1.37374,1.56,361183
1.39394,1.56,405823
1.41414,1.56,457557
1.43434,1.56,514571
1.45455,1.56,575289
1.47475,1.56,523814
1.49495,1.56,651494
1.51515,1.56,793090
1.53535,1.56,932420
1.55556,1.56,1.0506e+06
1.57576,1.56,1.14867e+06
1.59596,1.56,1.2083e+06
1.61616,1.56,1.26887e+06
1.63636,1.56,1.18436e+06
1.65657,1.56,1.19602e+06
1.67677,1.56,1.20314e+06
1.69697,1.56,1.20374e+06
1.71717,1.56,1.1963e+06
1.73737,1.56,1.17974e+06
1.75758,1.56,1.15343e+06
1.77778,1.56,1.11719e+06
1.79798,1.56,1.07128e+06
1.81818,1.56,1.01643e+06
1.83838,1.56,953792
1.85859,1.56,884979
1.87879,1.56,812053
1.89899,1.56,737521
1.91919,1.56,664339
1.93939,1.56,595912
1.9596,1.56,195200
1.9798,1.56,99290.8
2,1.56,0
0,1.58,0
0.020202,1.58,103776
0.040404,1.58,203781
0.0606061,1.58,300052
0.0808081,1.58,554326
0.10101,1.58,592614
0.121212,1.58,632948
0.141414,1.58,673404
0.161616,1.58,712367
0.181818,1.58,748530
0.20202,1.58,780896
0.222222,1.58,808775
0.242424,1.58,831786
0.262626,1.58,849856
0.282828,1.58,863222
0.30303,1.58,872426
0.323232,1.58,878323
0.343434,1.58,1.01686e+06
0.363636,1.58,959960
0.383838,1.58,908517
0.40404,1.58,862360
0.424242,1.58,820685
0.444444,1.58,782052
0.464646,1.58,781976
0.484848,1.58,703006
0.505051,1.58,644358
0.525253,1.58,605422
0.545455,1.58,585403
0.565657,1.58,583329
0.585859,1.58,598041
0.606061,1.58,628201
0.626263,1.58,672288
0.646465,1.58,728598
0.666667,1.58,795246
0.686869,1.58,998448
0.707071,1.58,1.36559e+06
0.727273,1.58,1.36543e+06
0.747475,1.58,1.36382e+06
0.767677,1.58,495278
0.787879,1.58,460379
0.808081,1.58,424066
0.828283,1.58,387129
0.848485,1.58,351133
0.868687,1.58,318418
0.888889,1.58,292099
0.909091,1.58,276067
0.929293,1.58,274987
0.949495,1.58,258860
0.969697,1.58,541993
0.989899,1.58,473743
1.0101,1.58,401992
1.0303,1.58,373165
1.05051,1.58,359712
1.07071,1.58,361202
1.09091,1.58,376342
1.11111,1.58,402973
1.13131,1.58,438074
1.15152,1.58,477757
1.17172,1.58,538252
1.19192,1.58,491568
1.21212,1.58,445823
1.23232,1.58,403148
1.25253,1.58,365961
1.27273,1.58,336973
1.29293,1.58,343720
1.31313,1.58,315169
1.33333,1.58,305741
1.35354,1.58,312377
1.37374,1.58,332261
1.39394,1.58,362815
1.41414,1.58,401705
1.43434,1.58,317825
1.45455,1.58,381848
1.47475,1.58,480183
1.49495,1.58,603258
1.51515,1.58,738799
1.53535,1.58,871834
1.55556,1.58,984692
1.57576,1.58,1.07522e+06
1.59596,1.58,1.13469e+06
1.61616,1.58,1.19495e+06
1.63636,1.58,1.25605e+06
1.65657,1.58,1.142e+06
1.67677,1.58,1.14885e+06
1.69697,1.58,1.15042e+06
1.71717,1.58,1.14495e+06
1.73737,1.58,1.13111e+06
1.75758,1.58,1.10803e+06
1.77778,1.58,1.07529e+06
1.79798,1.58,1.03291e+06
1.81818,1.58,981361
1.83838,1.58,921565
1.85859,1.58,854890
1.87879,1.58,783152
1.89899,1.58,708615
1.91919,1.58,633993
1.93939,1.58,282080
1.9596,1.58,191423
1.9798,1.58,97398.7
2,1.58,0
0,1.6,0
0.020202,1.6,100222
0.040404,1.6,196700
0.0606061,1.6,289470
0.0808081,1.6,378565
0.10101,1.6,575557
0.121212,1.6,617378
0.141414,1.6,658252
0.161616,1.6,696749
0.181818,1.6,731749
0.20202,1.6,762440
0.222222,1.6,788316
0.242424,1.6,809183
0.262626,1.6,825154
0.282828,1.6,836651
0.30303,1.6,844403
0.323232,1.6,849449
0.343434,1.6,934640
0.363636,1.6,880169
0.383838,1.6,829447
0.40404,1.6,782510
0.424242,1.6,738760
0.444444,1.6,696961
0.464646,1.6,655243
0.484848,1.6,578299
0.505051,1.6,535411
0.525253,1.6,512791
0.545455,1.6,509498
0.565657,1.6,524409
0.585859,1.6,556217
0.606061,1.6,603435
0.626263,1.6,664392
0.646465,1.6,737237
0.666667,1.6,819936
0.686869,1.6,1.0082e+06
0.707071,1.6,1.05092e+06
0.727273,1.6,1.21759e+06
0.747475,1.6,1.23893e+06
0.767677,1.6,1.25322e+06
0.787879,1.6,1.25938e+06
0.808081,1.6,1.25648e+06
0.828283,1.6,1.24374e+06
0.848485,1.6,1.2205e+06
0.868687,1.6,1.18625e+06
0.888889,1.6,1.14061e+06
0.909091,1.6,276367
0.929293,1.6,271923
