Distance[um],dz[um],Mag_Ex
1.41414,1.48,1.87796e+06
1.43434,1.48,1.83235e+06
1.45455,1.48,1.78931e+06
1.47475,1.48,1.74902e+06
1.49495,1.48,1.74933e+06
1.51515,1.48,1.69983e+06
1.53535,1.48,1.65432e+06
1.55556,1.48,1.61318e+06
1.57576,1.48,1.57679e+06
1.59596,1.48,978739
1.61616,1.48,940865
1.63636,1.48,913716
1.65657,1.48,897259
1.67677,1.48,891379
1.69697,1.48,895877
1.71717,1.48,910472
1.73737,1.48,934797
1.75758,1.48,968405
1.77778,1.48,1.01076e+06
1.79798,1.48,1.06126e+06
1.81818,1.48,1.11919e+06
1.83838,1.48,1.18378e+06
1.85859,1.48,1.25415e+06
1.87879,1.48,1.32937e+06
1.89899,1.48,1.4084e+06
1.91919,1.48,1.49012e+06
1.93939,1.48,1.57334e+06
1.9596,1.48,1.65677e+06
1.9798,1.48,1.73906e+06
2,1.48,1.8831e+06
0,1.5,639815
0.020202,1.5,623193
0.040404,1.5,596613
0.0606061,1.5,576135
0.0808081,1.5,561886
0.10101,1.5,553923
0.121212,1.5,552231
0.141414,1.5,556726
0.161616,1.5,567251
0.181818,1.5,583580
0.20202,1.5,605419
0.222222,1.5,632398
0.242424,1.5,664082
0.262626,1.5,699961
0.282828,1.5,739458
0.30303,1.5,781924
0.323232,1.5,826638
0.343434,1.5,872810
0.363636,1.5,919581
0.383838,1.5,801717
0.40404,1.5,790212
0.424242,1.5,1.88755e+06
0.444444,1.5,1.88753e+06
0.464646,1.5,1.76736e+06
0.484848,1.5,1.78634e+06
0.505051,1.5,1.80998e+06
0.525253,1.5,1.83813e+06
0.545455,1.5,1.87059e+06
0.565657,1.5,1.90717e+06
0.585859,1.5,1.94766e+06
0.606061,1.5,1.99183e+06
0.626263,1.5,2.03945e+06
0.646465,1.5,2.09026e+06
0.666667,1.5,2.144e+06
0.686869,1.5,2.20037e+06
0.707071,1.5,2.25909e+06
0.727273,1.5,2.72131e+06
0.747475,1.5,2.77404e+06
0.767677,1.5,2.82869e+06
0.787879,1.5,2.88519e+06
0.808081,1.5,2.94343e+06
0.828283,1.5,3.00334e+06
0.848485,1.5,3.06481e+06
0.868687,1.5,3.12777e+06
0.888889,1.5,3.25538e+06
0.909091,1.5,3.27574e+06
0.929293,1.5,3.29699e+06
0.949495,1.5,3.3191e+06
0.969697,1.5,3.34205e+06
0.989899,1.5,3.36581e+06
1.0101,1.5,2.76721e+06
1.0303,1.5,2.76488e+06
1.05051,1.5,2.7629e+06
1.07071,1.5,2.76128e+06
1.09091,1.5,2.76001e+06
1.11111,1.5,2.75911e+06
1.13131,1.5,2.75857e+06
1.15152,1.5,2.89989e+06
1.17172,1.5,2.86009e+06
1.19192,1.5,2.82068e+06
1.21212,1.5,2.86467e+06
1.23232,1.5,2.82996e+06
1.25253,1.5,2.79774e+06
1.27273,1.5,2.21769e+06
1.29293,1.5,2.16118e+06
1.31313,1.5,2.10605e+06
