Distance[um],dz[um],Mag_Ez
1.9596,1.54,502179
1.9798,1.54,277219
2,1.54,182086
0,1.56,865999
0.020202,1.56,737331
0.040404,1.56,642358
0.0606061,1.56,570017
0.0808081,1.56,576512
0.10101,1.56,603649
0.121212,1.56,647456
0.141414,1.56,704370
0.161616,1.56,771241
0.181818,1.56,845331
0.20202,1.56,924313
0.222222,1.56,1.00627e+06
0.242424,1.56,1.08971e+06
0.262626,1.56,1.17353e+06
0.282828,1.56,1.25706e+06
0.30303,1.56,1.34003e+06
0.323232,1.56,1.42259e+06
0.343434,1.56,1.50529e+06
0.363636,1.56,1.53631e+06
0.383838,1.56,1.49787e+06
0.40404,1.56,1.46062e+06
0.424242,1.56,1.42461e+06
0.444444,1.56,1.39e+06
0.464646,1.56,935690
0.484848,1.56,924525
0.505051,1.56,911707
0.525253,1.56,897112
0.545455,1.56,880648
0.565657,1.56,862254
0.585859,1.56,841903
0.606061,1.56,819599
0.626263,1.56,795378
0.646465,1.56,769309
0.666667,1.56,1.12349e+06
0.686869,1.56,1.06045e+06
0.707071,1.56,395432
0.727273,1.56,373830
0.747475,1.56,357101
0.767677,1.56,346912
0.787879,1.56,344463
0.808081,1.56,350495
0.828283,1.56,365285
0.848485,1.56,388647
0.868687,1.56,419934
0.888889,1.56,458037
0.909091,1.56,501383
0.929293,1.56,637515
0.949495,1.56,673449
0.969697,1.56,712185
0.989899,1.56,733983
1.0101,1.56,738766
1.0303,1.56,743149
1.05051,1.56,723885
1.07071,1.56,708433
1.09091,1.56,690883
1.11111,1.56,671055
1.13131,1.56,648804
1.15152,1.56,624012
1.17172,1.56,596594
1.19192,1.56,588024
1.21212,1.56,584017
1.23232,1.56,583526
1.25253,1.56,590039
1.27273,1.56,820755
1.29293,1.56,809915
1.31313,1.56,810339
1.33333,1.56,819365
1.35354,1.56,834628
1.37374,1.56,854057
1.39394,1.56,875881
1.41414,1.56,898623
1.43434,1.56,921101
1.45455,1.56,942433
1.47475,1.56,1.09046e+06
1.49495,1.56,1.0802e+06
1.51515,1.56,1.06638e+06
1.53535,1.56,1.04909e+06
1.55556,1.56,1.02846e+06
1.57576,1.56,1.10511e+06
1.59596,1.56,1.10397e+06
1.61616,1.56,1.1021e+06
1.63636,1.56,1.10228e+06
1.65657,1.56,1.09257e+06
1.67677,1.56,1.08184e+06
1.69697,1.56,1.06856e+06
1.71717,1.56,1.05145e+06
1.73737,1.56,1.02952e+06
1.75758,1.56,1.00205e+06
1.77778,1.56,968588
1.79798,1.56,928963
1.81818,1.56,883277
1.83838,1.56,831907
1.85859,1.56,775506
1.87879,1.56,714999
1.89899,1.56,651586
1.91919,1.56,586744
1.93939,1.56,522221
1.9596,1.56,392508
1.9798,1.56,300152
2,1.56,216605
0,1.58,821563
0.020202,1.58,695411
0.040404,1.58,601890
0.0606061,1.58,542335
0.0808081,1.58,533161
0.10101,1.58,564500
0.121212,1.58,612063
0.141414,1.58,672314
0.161616,1.58,742128
0.181818,1.58,818793
0.20202,1.58,900008
0.222222,1.58,983885
0.242424,1.58,1.06895e+06
0.262626,1.58,1.15413e+06
0.282828,1.58,1.23878e+06
0.30303,1.58,1.32265e+06
0.323232,1.58,1.40593e+06
0.343434,1.58,1.50241e+06
0.363636,1.58,1.46657e+06
0.383838,1.58,1.43212e+06
0.40404,1.58,1.39902e+06
0.424242,1.58,1.36731e+06
0.444444,1.58,1.33716e+06
0.464646,1.58,869235
0.484848,1.58,857876
0.505051,1.58,845328
0.525253,1.58,831408
0.545455,1.58,815968
0.565657,1.58,798890
0.585859,1.58,780089
0.606061,1.58,759512
0.626263,1.58,737139
0.646465,1.58,712980
0.666667,1.58,687080
0.686869,1.58,1.79118e+06
0.707071,1.58,1.30737e+06
0.727273,1.58,1.16683e+06
0.747475,1.58,1.03737e+06
0.767677,1.58,330941
0.787879,1.58,323364
0.808081,1.58,324651
0.828283,1.58,335265
0.848485,1.58,355204
0.868687,1.58,384005
0.888889,1.58,420743
0.909091,1.58,464030
0.929293,1.58,512014
0.949495,1.58,673586
0.969697,1.58,778854
0.989899,1.58,788052
1.0101,1.58,788257
1.0303,1.58,774662
1.05051,1.58,759059
1.07071,1.58,741256
1.09091,1.58,721094
1.11111,1.58,698442
1.13131,1.58,673203
1.15152,1.58,645309
1.17172,1.58,623235
1.19192,1.58,611966
1.21212,1.58,600280
1.23232,1.58,590687
