Distance[um],dz[um],Mag_Ez
1.19192,1.52,4.72034e+06
1.21212,1.52,4.64068e+06
1.23232,1.52,4.54645e+06
1.25253,1.52,4.45835e+06
1.27273,1.52,4.43548e+06
1.29293,1.52,4.18891e+06
1.31313,1.52,3.9483e+06
1.33333,1.52,3.71223e+06
1.35354,1.52,3.47974e+06
1.37374,1.52,3.25025e+06
1.39394,1.52,3.0236e+06
1.41414,1.52,2.80006e+06
1.43434,1.52,2.58028e+06
1.45455,1.52,2.36536e+06
1.47475,1.52,2.15679e+06
1.49495,1.52,1.95649e+06
1.51515,1.52,1.76677e+06
1.53535,1.52,2.44575e+06
1.55556,1.52,2.32835e+06
1.57576,1.52,2.15475e+06
1.59596,1.52,2.06273e+06
1.61616,1.52,1.92668e+06
1.63636,1.52,1.76904e+06
1.65657,1.52,1.62388e+06
1.67677,1.52,1.49602e+06
1.69697,1.52,1.38953e+06
1.71717,1.52,1.30773e+06
1.73737,1.52,1.25321e+06
1.75758,1.52,1.22783e+06
1.77778,1.52,1.23267e+06
1.79798,1.52,1.26813e+06
1.81818,1.52,1.3338e+06
1.83838,1.52,1.42859e+06
1.85859,1.52,1.55064e+06
1.87879,1.52,1.69733e+06
1.89899,1.52,1.86535e+06
1.91919,1.52,2.0506e+06
1.93939,1.52,2.24828e+06
1.9596,1.52,2.4528e+06
1.9798,1.52,2.65788e+06
2,1.52,3.78128e+06
0,1.54,2.7717e+06
0.020202,1.54,2.60707e+06
0.040404,1.54,2.58954e+06
0.0606061,1.54,2.37856e+06
0.0808081,1.54,2.16602e+06
0.10101,1.54,1.96281e+06
0.121212,1.54,1.77839e+06
0.141414,1.54,1.62083e+06
0.161616,1.54,1.49678e+06
0.181818,1.54,1.41149e+06
0.20202,1.54,1.36879e+06
0.222222,1.54,1.37113e+06
0.242424,1.54,1.41951e+06
0.262626,1.54,1.51356e+06
0.282828,1.54,1.65148e+06
0.30303,1.54,1.83007e+06
0.323232,1.54,2.04472e+06
0.343434,1.54,2.28941e+06
0.363636,1.54,2.50888e+06
0.383838,1.54,2.48053e+06
0.40404,1.54,2.4746e+06
0.424242,1.54,2.49342e+06
0.444444,1.54,2.56018e+06
0.464646,1.54,2.63476e+06
0.484848,1.54,2.71945e+06
0.505051,1.54,2.81313e+06
0.525253,1.54,2.91481e+06
0.545455,1.54,3.02363e+06
0.565657,1.54,3.13887e+06
0.585859,1.54,3.25998e+06
0.606061,1.54,4.00938e+06
0.626263,1.54,4.1439e+06
0.646465,1.54,4.28001e+06
0.666667,1.54,4.41808e+06
0.686869,1.54,4.55854e+06
0.707071,1.54,4.29021e+06
0.727273,1.54,4.44514e+06
0.747475,1.54,4.59228e+06
0.767677,1.54,4.731e+06
0.787879,1.54,4.86067e+06
0.808081,1.54,4.98074e+06
0.828283,1.54,5.09068e+06
