Distance[um],dz[um],Mag_Ex
1.87879,1.48,585665
1.89899,1.48,591260
1.91919,1.48,596901
1.93939,1.48,602587
1.9596,1.48,608320
1.9798,1.48,614100
2,1.48,772344
0,1.5,140509
0.020202,1.5,160918
0.040404,1.5,173121
0.0606061,1.5,185915
0.0808081,1.5,199166
0.10101,1.5,212755
0.121212,1.5,226580
0.141414,1.5,240550
0.161616,1.5,254592
0.181818,1.5,268647
0.20202,1.5,282672
0.222222,1.5,296637
0.242424,1.5,310528
0.262626,1.5,324345
0.282828,1.5,338106
0.30303,1.5,351840
0.323232,1.5,365593
0.343434,1.5,379427
0.363636,1.5,393415
0.383838,1.5,325147
0.40404,1.5,306633
0.424242,1.5,379797
0.444444,1.5,379496
0.464646,1.5,484854
0.484848,1.5,514523
0.505051,1.5,545995
0.525253,1.5,578932
0.545455,1.5,613046
0.565657,1.5,648102
0.585859,1.5,683915
0.606061,1.5,720352
0.626263,1.5,757333
0.646465,1.5,794827
0.666667,1.5,832854
0.686869,1.5,871489
0.707071,1.5,910856
0.727273,1.5,1.16596e+06
0.747475,1.5,1.1081e+06
0.767677,1.5,1.0512e+06
0.787879,1.5,995449
0.808081,1.5,941084
0.828283,1.5,888365
0.848485,1.5,837594
0.868687,1.5,789110
0.888889,1.5,639824
0.909091,1.5,664797
0.929293,1.5,690133
0.949495,1.5,715672
0.969697,1.5,741273
0.989899,1.5,766815
1.0101,1.5,299811
1.0303,1.5,229365
1.05051,1.5,162469
1.07071,1.5,110179
1.09091,1.5,80583.8
1.11111,1.5,78805.6
1.13131,1.5,106997
1.15152,1.5,362387
1.17172,1.5,421969
1.19192,1.5,497725
1.21212,1.5,192720
1.23232,1.5,240217
1.25253,1.5,283989
1.27273,1.5,545427
1.29293,1.5,541610
1.31313,1.5,538510
1.33333,1.5,536133
1.35354,1.5,534485
1.37374,1.5,533567
1.39394,1.5,533380
1.41414,1.5,533924
1.43434,1.5,535194
1.45455,1.5,537187
1.47475,1.5,539896
1.49495,1.5,543314
1.51515,1.5,547429
1.53535,1.5,552231
1.55556,1.5,557705
1.57576,1.5,504829
1.59596,1.5,540602
1.61616,1.5,548080
1.63636,1.5,555581
1.65657,1.5,563104
1.67677,1.5,570647
1.69697,1.5,578211
1.71717,1.5,585794
1.73737,1.5,593396
1.75758,1.5,601016
1.77778,1.5,608654
1.79798,1.5,616309
1.81818,1.5,623980
1.83838,1.5,631667
1.85859,1.5,639370
1.87879,1.5,647088
1.89899,1.5,654821
1.91919,1.5,662569
1.93939,1.5,670332
1.9596,1.5,678109
1.9798,1.5,685900
2,1.5,693706
0,1.52,141504
0.020202,1.52,251132
0.040404,1.52,258069
0.0606061,1.52,265705
0.0808081,1.52,273912
0.10101,1.52,282583
0.121212,1.52,291620
0.141414,1.52,300944
0.161616,1.52,310489
0.181818,1.52,320204
0.20202,1.52,330054
0.222222,1.52,340018
0.242424,1.52,350090
0.262626,1.52,360280
0.282828,1.52,370612
0.30303,1.52,381124
0.323232,1.52,391872
0.343434,1.52,402923
0.363636,1.52,414362
0.383838,1.52,338476
0.40404,1.52,325096
0.424242,1.52,449889
0.444444,1.52,451330
