Distance[um],dz[um],Mag_E[V_per_meter]
1.09091,1.48,2.79052e+06
1.11111,1.48,2.73233e+06
1.13131,1.48,2.68188e+06
1.15152,1.48,2.63887e+06
1.17172,1.48,2.60311e+06
1.19192,1.48,2.58651e+06
1.21212,1.48,2.58762e+06
1.23232,1.48,2.58391e+06
1.25253,1.48,2.56678e+06
1.27273,1.48,2.46312e+06
1.29293,1.48,2.36041e+06
1.31313,1.48,2.2586e+06
1.33333,1.48,2.1577e+06
1.35354,1.48,2.0578e+06
1.37374,1.48,1.95904e+06
1.39394,1.48,1.86164e+06
1.41414,1.48,1.76587e+06
1.43434,1.48,1.67208e+06
1.45455,1.48,1.58069e+06
1.47475,1.48,1.49217e+06
1.49495,1.48,1.4123e+06
1.51515,1.48,1.3456e+06
1.53535,1.48,1.2868e+06
1.55556,1.48,1.23675e+06
1.57576,1.48,1.19635e+06
1.59596,1.48,1.11749e+06
1.61616,1.48,1.03894e+06
1.63636,1.48,968166
1.65657,1.48,904808
1.67677,1.48,848504
1.69697,1.48,798881
1.71717,1.48,755557
1.73737,1.48,718141
1.75758,1.48,686231
1.77778,1.48,659417
1.79798,1.48,637281
1.81818,1.48,619393
1.83838,1.48,605317
1.85859,1.48,594606
1.87879,1.48,586803
1.89899,1.48,581443
1.91919,1.48,578052
1.93939,1.48,576147
1.9596,1.48,575234
1.9798,1.48,574811
2,1.48,542153
0,1.5,321149
0.020202,1.5,354852
0.040404,1.5,386695
0.0606061,1.5,417630
0.0808081,1.5,448564
0.10101,1.5,480361
0.121212,1.5,513844
0.141414,1.5,549790
0.161616,1.5,588934
0.181818,1.5,631966
0.20202,1.5,679534
0.222222,1.5,732242
0.242424,1.5,790651
0.262626,1.5,855278
0.282828,1.5,926598
0.30303,1.5,1.00504e+06
0.323232,1.5,1.09099e+06
0.343434,1.5,1.1848e+06
0.363636,1.5,1.28675e+06
0.383838,1.5,1.38835e+06
0.40404,1.5,1.46537e+06
0.424242,1.5,1.55205e+06
0.444444,1.5,1.64985e+06
0.464646,1.5,1.75578e+06
0.484848,1.5,1.82071e+06
0.505051,1.5,1.88813e+06
0.525253,1.5,1.95747e+06
0.545455,1.5,2.02825e+06
0.565657,1.5,2.10007e+06
0.585859,1.5,2.17263e+06
0.606061,1.5,2.2457e+06
0.626263,1.5,2.31915e+06
0.646465,1.5,2.39293e+06
0.666667,1.5,2.46707e+06
0.686869,1.5,2.5417e+06
0.707071,1.5,2.61703e+06
0.727273,1.5,2.69649e+06
0.747475,1.5,2.76425e+06
0.767677,1.5,2.81981e+06
0.787879,1.5,2.86315e+06
0.808081,1.5,2.89429e+06
0.828283,1.5,2.9133e+06
0.848485,1.5,2.92029e+06
0.868687,1.5,2.91542e+06
0.888889,1.5,2.90555e+06
0.909091,1.5,2.93239e+06
0.929293,1.5,2.9624e+06
0.949495,1.5,2.99371e+06
0.969697,1.5,3.02493e+06
0.989899,1.5,3.0551e+06
1.0101,1.5,3.0084e+06
1.0303,1.5,2.9251e+06
1.05051,1.5,2.85106e+06
1.07071,1.5,2.78563e+06
1.09091,1.5,2.72828e+06
1.11111,1.5,2.67858e+06
1.13131,1.5,2.6362e+06
1.15152,1.5,2.60225e+06
1.17172,1.5,2.5835e+06
1.19192,1.5,2.58088e+06
1.21212,1.5,2.58777e+06
1.23232,1.5,2.58023e+06
1.25253,1.5,2.58944e+06
1.27273,1.5,2.50454e+06
1.29293,1.5,2.41097e+06
1.31313,1.5,2.3183e+06
1.33333,1.5,2.22654e+06
1.35354,1.5,2.13579e+06
1.37374,1.5,2.04618e+06
1.39394,1.5,1.95793e+06
1.41414,1.5,1.87132e+06
1.43434,1.5,1.7867e+06
1.45455,1.5,1.70449e+06
1.47475,1.5,1.62516e+06
1.49495,1.5,1.54927e+06
1.51515,1.5,1.47742e+06
1.53535,1.5,1.41029e+06
1.55556,1.5,1.34864e+06
1.57576,1.5,1.26394e+06
1.59596,1.5,1.1745e+06
1.61616,1.5,1.09155e+06
1.63636,1.5,1.01616e+06
1.65657,1.5,948018
1.67677,1.5,886824
1.69697,1.5,832257
1.71717,1.5,783992
1.73737,1.5,741698
1.75758,1.5,705039
1.77778,1.5,673669
1.79798,1.5,647239
1.81818,1.5,625389
1.83838,1.5,607758
1.85859,1.5,593972
1.87879,1.5,583656
1.89899,1.5,576426
1.91919,1.5,571889
1.93939,1.5,569650
1.9596,1.5,569304
1.9798,1.5,570440
2,1.5,572641
0,1.52,389938
0.020202,1.52,414174
0.040404,1.52,443272
0.0606061,1.52,471830
0.0808081,1.52,500689
0.10101,1.52,530648
0.121212,1.52,562459
0.141414,1.52,596834
0.161616,1.52,634441
0.181818,1.52,675902
0.20202,1.52,721798
0.222222,1.52,772667
0.242424,1.52,829001
0.262626,1.52,891252
0.282828,1.52,959826
0.30303,1.52,1.03509e+06
0.323232,1.52,1.11735e+06
0.343434,1.52,1.2069e+06
0.363636,1.52,1.30396e+06
0.383838,1.52,1.38056e+06
0.40404,1.52,1.45116e+06
0.424242,1.52,1.52344e+06
0.444444,1.52,1.60432e+06
0.464646,1.52,1.69468e+06
0.484848,1.52,1.79368e+06
0.505051,1.52,1.90057e+06
0.525253,1.52,2.01459e+06
0.545455,1.52,2.08586e+06
0.565657,1.52,2.15301e+06
0.585859,1.52,2.22081e+06
0.606061,1.52,2.28904e+06
0.626263,1.52,2.35759e+06
0.646465,1.52,2.42644e+06
0.666667,1.52,2.49563e+06
0.686869,1.52,2.56531e+06
0.707071,1.52,2.6378e+06
0.727273,1.52,2.71156e+06
0.747475,1.52,2.7732e+06
0.767677,1.52,2.82264e+06
0.787879,1.52,2.85983e+06
0.808081,1.52,2.88477e+06
0.828283,1.52,2.89748e+06
0.848485,1.52,2.89806e+06
0.868687,1.52,2.88663e+06
0.888889,1.52,2.86336e+06
0.909091,1.52,2.8603e+06
0.929293,1.52,2.88626e+06
