Distance[um],dz[um],Mag_Ex_um,Mag_Ex_um
1.69697,1.52,1.87563,0.490753
1.71717,1.52,1.93888,0.484104
1.73737,1.52,2.00218,0.480899
1.75758,1.52,2.0655,0.481415
1.77778,1.52,2.12883,0.485759
1.79798,1.52,2.19219,0.493866
1.81818,1.52,2.25559,0.505502
1.83838,1.52,2.31903,0.520259
1.85859,1.52,2.38255,0.537558
1.87879,1.52,2.44619,0.556651
1.89899,1.52,2.19689,0.649766
1.91919,1.52,2.20624,0.671807
1.93939,1.52,2.21659,0.696332
1.9596,1.52,2.22781,0.72326
1.9798,1.52,2.23973,0.752504
2,1.52,2.25223,0.78397
0,1.54,4.45107,0.522842
0.020202,1.54,4.35725,0.526069
0.040404,1.54,4.26174,0.531597
0.0606061,1.54,4.00617,0.786837
0.0808081,1.54,3.87667,0.721202
0.10101,1.54,3.74705,0.671057
0.121212,1.54,3.61436,0.635657
0.141414,1.54,3.47642,0.614234
0.161616,1.54,3.35098,0.588349
0.181818,1.54,3.19124,0.568222
0.20202,1.54,3.03163,0.561153
0.222222,1.54,2.87221,0.566954
0.242424,1.54,2.71309,0.585197
0.262626,1.54,2.55438,0.615219
0.282828,1.54,2.3962,0.656116
0.30303,1.54,2.23871,0.706747
0.323232,1.54,2.08205,0.765734
0.343434,1.54,1.92639,0.831458
0.363636,1.54,1.77193,0.902065
0.383838,1.54,1.61886,0.975462
0.40404,1.54,1.46739,1.04932
0.424242,1.54,1.24295,1.69964
0.444444,1.54,1.22756,1.68472
0.464646,1.54,1.23132,1.67293
0.484848,1.54,1.25185,1.6643
0.505051,1.54,1.28694,1.6589
0.525253,1.54,1.33449,1.65675
0.545455,1.54,1.39254,1.65788
0.565657,1.54,1.45927,1.66229
0.585859,1.54,1.53301,1.66998
0.606061,1.54,1.55574,1.71538
0.626263,1.54,1.61562,1.75461
