Distance[um],dz[um],Mag_Ey_um,Mag_Ey_um
0.707071,1.48,0.606833,1.15686
0.727273,1.48,0.546154,1.20874
0.747475,1.48,0.508363,1.23308
0.767677,1.48,0.523295,1.31882
0.787879,1.48,0.576323,1.40985
0.808081,1.48,0.658503,1.50407
0.828283,1.48,0.762149,1.59998
0.848485,1.48,0.880829,1.69671
0.868687,1.48,1.00937,1.79395
0.888889,1.48,1.14385,1.89206
0.909091,1.48,0.249011,0.607088
0.929293,1.48,0.15422,0.380524
0.949495,1.48,0.11222,0.316801
0.969697,1.48,0.116404,0.370613
0.989899,1.48,0.158652,0.503488
1.0101,1.48,0.229333,0.683788
1.0303,1.48,0.317298,0.886711
1.05051,1.48,0.409887,1.09429
1.07071,1.48,0.492924,1.29538
1.09091,1.48,0.815124,1.89983
1.11111,1.48,0.738425,1.84214
1.13131,1.48,0.703481,1.86169
1.15152,1.48,0.707598,1.89002
1.17172,1.48,0.630592,1.82779
1.19192,1.48,0.578546,1.76071
1.21212,1.48,0.554356,1.68886
1.23232,1.48,0.559451,1.61276
1.25253,1.48,0.582956,1.54209
1.27273,1.48,0.660525,1.47013
1.29293,1.48,0.740856,1.38973
1.31313,1.48,0.821454,1.30613
1.33333,1.48,0.900168,1.22415
1.35354,1.48,0.975187,1.14815
1.37374,1.48,1.04505,1.08205
1.39394,1.48,1.10862,1.02932
1.41414,1.48,1.16513,0.99296
1.43434,1.48,1.32026,0.922511
1.45455,1.48,1.40762,0.93534
1.47475,1.48,1.48955,0.968086
1.49495,1.48,1.56656,1.02206
1.51515,1.48,1.63986,1.09842
1.53535,1.48,1.7114,1.1982
1.55556,1.48,1.78385,1.32228
1.57576,1.48,1.78213,1.51072
1.59596,1.48,1.81404,1.64859
1.61616,1.48,1.8453,1.78691
1.63636,1.48,1.65767,1.52686
1.65657,1.48,1.63444,1.54341
1.67677,1.48,1.60752,1.55524
1.69697,1.48,1.57489,1.56099
1.71717,1.48,1.53531,1.55959
1.73737,1.48,1.48833,1.55034
1.75758,1.48,1.4343,1.5328
1.77778,1.48,1.37435,1.50689
1.79798,1.48,1.00841,0.916467
1.81818,1.48,0.933957,0.858284
1.83838,1.48,0.853831,0.792689
1.85859,1.48,0.767959,0.719669
1.87879,1.48,0.676267,0.639212
1.89899,1.48,0.578683,0.55131
1.91919,1.48,0.475137,0.455957
1.93939,1.48,0.36556,0.353149
1.9596,1.48,0.249888,0.242886
1.9798,1.48,0.128055,0.125168
2,1.48,0,0
0,1.5,0,0
0.020202,1.5,0.0545943,0.0970508
0.040404,1.5,0.666349,0.802331
0.0606061,1.5,1.15112,1.16236
0.0808081,1.5,1.16386,1.20444
0.10101,1.5,1.18835,1.2427
0.121212,1.5,1.22152,1.27643
0.141414,1.5,1.2606,1.30504
0.161616,1.5,1.30307,1.32801
0.181818,1.5,1.34667,1.34488
0.20202,1.5,1.38942,1.35532
0.222222,1.5,1.42961,1.35906
0.242424,1.5,1.46579,1.35589
0.262626,1.5,1.49676,1.34574
0.282828,1.5,1.52163,1.32857
0.30303,1.5,1.53972,1.30445
0.323232,1.5,1.55068,1.27354
0.343434,1.5,1.55436,1.23607
0.363636,1.5,1.55094,1.19236
0.383838,1.5,1.54082,1.14282
0.40404,1.5,1.5247,1.08792
0.424242,1.5,1.45207,0.994249
0.444444,1.5,1.34921,0.845244
0.464646,1.5,1.25712,0.719989
0.484848,1.5,1.17381,0.618527
0.505051,1.5,1.09746,0.540721
0.525253,1.5,1.02642,0.486261
0.545455,1.5,0.959215,0.454657
0.565657,1.5,1.0061,0.579539
0.585859,1.5,0.941542,0.62172
