Distance[um],dz[um],Mag_Ez_um,Mag_Ez_um_1
1.71717,1.46,1.06343,0.192958
1.73737,1.46,0.869182,0.319842
1.75758,1.46,0.695657,0.345927
1.77778,1.46,0.537425,0.371595
1.79798,1.46,0.397214,0.397101
1.81818,1.46,0.277807,0.422644
1.83838,1.46,0.182053,0.448368
1.85859,1.46,0.112856,0.474359
1.87879,1.46,0.0731835,0.500649
1.89899,1.46,0.066062,0.527212
1.91919,1.46,0.0945778,0.553965
1.93939,1.46,0.161878,0.580771
1.9596,1.46,0.271169,0.607434
1.9798,1.46,0.425718,0.633704
2,1.46,0.628851,0.659274
0,1.48,1.66054,0.688722
0.020202,1.48,1.48586,0.623832
0.040404,1.48,1.54305,0.570478
0.0606061,1.48,1.60219,0.540118
0.0808081,1.48,1.66206,0.528893
0.10101,1.48,1.72158,0.533253
0.121212,1.48,1.77975,0.549955
0.141414,1.48,1.83565,0.576063
0.161616,1.48,1.88846,0.60895
0.181818,1.48,1.93748,0.646297
0.20202,1.48,1.98207,0.686092
0.222222,1.48,2.0217,0.72663
0.242424,1.48,2.05595,0.766516
0.262626,1.48,2.08446,0.804662
0.282828,1.48,2.107,0.840287
0.30303,1.48,2.12341,0.872918
0.323232,1.48,2.13364,0.90239
0.343434,1.48,2.13773,0.928847
0.363636,1.48,2.13581,0.952739
0.383838,1.48,2.12811,0.974825
0.40404,1.48,2.11495,0.996172
0.424242,1.48,1.70588,1.04919
0.444444,1.48,1.59663,1.00831
0.464646,1.48,1.49761,0.971365
0.484848,1.48,1.40689,0.937434
0.505051,1.48,1.32262,0.905664
0.525253,1.48,1.24312,0.87527
0.545455,1.48,1.11465,0.758057
0.565657,1.48,1.06872,0.713945
0.585859,1.48,1.02462,0.674301
0.606061,1.48,0.982109,0.638756
0.626263,1.48,0.940964,0.606966
0.646465,1.48,0.900941,0.578614
0.666667,1.48,0.861791,0.553409
0.686869,1.48,0.823256,0.531086
0.707071,1.48,0.785072,0.511408
0.727273,1.48,0.746968,0.494162
0.747475,1.48,0.478273,0.39617
0.767677,1.48,0.444878,0.428757
0.787879,1.48,0.436233,0.457774
0.808081,1.48,0.436311,0.493472
0.828283,1.48,0.438009,0.541228
0.848485,1.48,0.443144,0.601545
0.868687,1.48,0.462454,0.670053
0.888889,1.48,0.515596,0.737507
0.909091,1.48,0.0752891,0.136054
0.929293,1.48,0.0715059,0.110868
0.949495,1.48,0.06723,0.160849
0.969697,1.48,0.0659001,0.258097
0.989899,1.48,0.0711192,0.380536
1.0101,1.48,0.086655,0.511909
1.0303,1.48,0.11644,0.641785
1.05051,1.48,0.16457,0.765555
1.07071,1.48,0.235308,0.884433
1.09091,1.48,0.0458284,0.632675
1.11111,1.48,0.0903741,0.700464
1.13131,1.48,0.142856,0.607597
1.15152,1.48,0.0663796,0.535129
1.17172,1.48,0.149137,0.464591
1.19192,1.48,0.214787,0.41005
1.21212,1.48,0.268404,0.379058
1.23232,1.48,0.340558,0.380046
1.25253,1.48,0.689726,0.536406
1.27273,1.48,0.71257,0.518222
1.29293,1.48,0.737212,0.504086
1.31313,1.48,0.763847,0.491927
1.33333,1.48,0.792136,0.479953
1.35354,1.48,0.821211,0.466645
1.37374,1.48,0.849673,0.45076
1.39394,1.48,0.875596,0.431332
1.41414,1.48,0.89652,0.40767
1.43434,1.48,0.597449,0.575935
1.45455,1.48,0.656272,0.58664
1.47475,1.48,0.719657,0.596567
1.49495,1.48,0.787988,0.605775
1.51515,1.48,0.861596,0.614295
1.53535,1.48,0.940755,0.622139
1.55556,1.48,1.02568,0.629291
1.57576,1.48,1.17576,0.870656
1.59596,1.48,1.19855,0.831156
1.61616,1.48,1.22018,0.78678
1.63636,1.48,1.27523,0.192461
1.65657,1.48,1.25986,0.179036
1.67677,1.48,1.24341,0.170337
1.69697,1.48,1.22613,0.165408
1.71717,1.48,1.20838,0.163342
1.73737,1.48,1.19063,0.163289
1.75758,1.48,1.17344,0.164445
1.77778,1.48,1.15748,0.166064
1.79798,1.48,0.758614,0.384593
1.81818,1.48,0.570036,0.408444
1.83838,1.48,0.408337,0.43293
1.85859,1.48,0.276885,0.458162
1.87879,1.48,0.179109,0.484197
1.89899,1.48,0.118496,0.511034
1.91919,1.48,0.0985948,0.538618
1.93939,1.48,0.123014,0.566835
1.9596,1.48,0.195422,0.595517
1.9798,1.48,0.319548,0.624438
2,1.48,0.499181,0.653316
0,1.5,1.6748,0.645204
0.020202,1.5,1.80663,0.611836
0.040404,1.5,1.92719,0.686228
0.0606061,1.5,1.79423,0.440205
0.0808081,1.5,1.85148,0.451483
0.10101,1.5,1.90758,0.475403
0.121212,1.5,1.96158,0.508951
